Region,Total Population 2015,Total Population 2020,Population Growth Rate 2015-2020
NCR,12877253,13484462,0.97
CAR,1722006,1797660,0.91
I,5026128,5301139,1.13
II,3451410,3685744,1.39
III,11218177,12422172,2.17
IV-A,14414774,16195042,2.48
MIMAROPA,2963360,3228558,1.82
V,5796989,6082165,1.02
VI,7536383,7954723,1.14
VII,7396898,8081988,1.88
VIII,4440150,4547150,0.50 
IX,3629783,3875576,1.39
X,4689302,5022768,1.46
XI,4893318,5243536,1.46
XII,4545276,4901486,1.60 
XIII,2596709,2804788,1.63
BARMM,3781387,4404288,3.26
